"Year","avg_total_expenditure","avg_life"
"2015","0.07737704834651427","71.61693977397648"
"2014","6.133224037827039","71.53661208856302"
"2013","6.31886012566522","67.54507770439504"
"2012","6.18295080674802","70.91694009499471"
"2011","5.876120203831157","70.65409834397947"
"2010","6.050382521960254","70.0486339089649"
"2009","6.421366105314161","69.93825126606258"
"2008","5.629234971895896","69.42786878575393"
"2007","5.538743150038798","69.03606566965905"
"2006","5.605573747978836","68.66775937940254"
"2005","5.823661189261681","68.20928971754397"
"2004","5.763060092274609","67.64644795819058"
"2003","5.731912562755939","67.4333332457829"
"2002","5.563661206615427","67.35136613689485"
"2001","5.477213114988609","67.12896165691438"
"2000","5.463387980487178","66.75027307395726"
